studentId,courseId,topicId,questionId,sourceType,eventType,eventTimestamp,isCorrect,label_nextCorrect,normalizedScore,rawScore,difficulty,timeSpentSec,responseLatencySec,hintUsed,attemptNo,materialId
student_0119,course_02,stacks_queues,q_course_02_stacks_queues_0012,quiz,question_attempt,2025-01-01T10:50:00+00:00,0,0,0.1688,2,hard,82.31,3.922,1,3,mat_course_02_stacks_queues_034
student_0119,course_02,graphs,q_course_02_graphs_0013,quiz,question_attempt,2025-01-01T10:57:00+00:00,1,1,0.6352,6,easy,58.09,3.085,0,3,mat_course_02_graphs_030
student_0197,course_04,stacks_queues,q_course_04_stacks_queues_0013,quiz,question_attempt,2025-01-01T11:00:00+00:00,1,1,0.6171,6,medium,76.6,2.056,0,2,mat_course_04_stacks_queues_010
student_0119,course_02,joins,q_course_02_joins_0014,assignment,assignment_attempt,2025-01-01T11:06:00+00:00,1,1,0.4834,5,medium,72.69,1.063,0,1,mat_course_02_joins_002
student_0197,course_04,complexity,q_course_04_complexity_0014,quiz,question_attempt,2025-01-01T11:08:00+00:00,0,0,0.2863,3,hard,97.8,5.622,0,3,mat_course_04_complexity_016
student_0197,course_04,normalization,q_course_04_normalization_0015,assignment,assignment_attempt,2025-01-01T11:16:00+00:00,1,1,0.4893,5,easy,83.35,4.865,0,1,mat_course_04_normalization_008
student_0119,course_02,graphs,q_course_02_graphs_0015,quiz,question_attempt,2025-01-01T11:17:00+00:00,1,1,0.566,6,easy,57.98,1.831,1,1,mat_course_02_graphs_003
student_0119,course_02,complexity,q_course_02_complexity_0016,assignment,assignment_attempt,2025-01-01T11:25:00+00:00,0,0,0.1888,2,medium,80.28,2.762,0,1,mat_course_02_complexity_002
student_0197,course_04,normalization,q_course_04_normalization_0016,quiz,question_attempt,2025-01-01T11:26:00+00:00,0,0,0.2993,3,medium,92.74,5.332,0,3,mat_course_04_normalization_030
student_0197,course_04,joins,q_course_04_joins_0017,quiz,question_attempt,2025-01-01T11:33:00+00:00,0,0,0.2645,3,hard,92.62,6.307,1,3,mat_course_04_joins_013
student_0119,course_02,dp,q_course_02_dp_0017,quiz,question_attempt,2025-01-01T11:35:00+00:00,0,0,0.3921,4,medium,100.25,1.829,0,3,mat_course_02_dp_030
student_0119,course_02,graphs,q_course_02_graphs_0018,assignment,assignment_attempt,2025-01-01T11:43:00+00:00,1,1,0.4992,5,easy,8.0,2.577,0,3,mat_course_02_graphs_007
student_0197,course_04,normalization,q_course_04_normalization_0018,quiz,question_attempt,2025-01-01T11:44:00+00:00,0,0,0.4211,4,medium,80.2,3.758,0,1,mat_course_04_normalization_034
student_0197,course_04,trees,q_course_04_trees_0019,quiz,question_attempt,2025-01-01T11:51:00+00:00,0,0,0.2977,3,hard,74.99,5.723,0,3,mat_course_04_trees_029
student_0119,course_02,stacks_queues,q_course_02_stacks_queues_0019,quiz,question_attempt,2025-01-01T11:55:00+00:00,1,1,0.5688,6,easy,25.77,2.342,0,2,mat_course_02_stacks_queues_019
student_0119,course_02,complexity,q_course_02_complexity_0020,quiz,question_attempt,2025-01-01T12:04:00+00:00,0,0,0.42,4,medium,80.62,3.48,1,3,mat_course_02_complexity_003
student_0197,course_04,normalization,q_course_04_normalization_0020,quiz,question_attempt,2025-01-01T12:04:00+00:00,0,0,0.1756,2,medium,89.28,3.175,0,1,mat_course_04_normalization_011
student_0119,course_02,normalization,q_course_02_normalization_0021,quiz,question_attempt,2025-01-01T12:10:00+00:00,0,0,0.2592,3,easy,48.64,5.105,1,1,mat_course_02_normalization_012
student_0197,course_04,complexity,q_course_04_complexity_0021,assignment,assignment_attempt,2025-01-01T12:11:00+00:00,0,0,0.2803,3,easy,117.71,3.107,1,2,mat_course_04_complexity_018
student_0197,course_04,trees,q_course_04_trees_0022,quiz,question_attempt,2025-01-01T12:18:00+00:00,0,0,0.3794,4,medium,85.26,4.665,1,1,mat_course_04_trees_031
student_0119,course_02,sql_basics,q_course_02_sql_basics_0022,quiz,question_attempt,2025-01-01T12:20:00+00:00,1,1,0.4706,5,easy,38.98,2.87,0,1,mat_course_02_sql_basics_034
student_0197,course_04,sorting,q_course_04_sorting_0023,quiz,question_attempt,2025-01-01T12:28:00+00:00,0,0,0.349,3,medium,128.26,3.884,0,3,mat_course_04_sorting_007
student_0119,course_02,joins,q_course_02_joins_0023,quiz,question_attempt,2025-01-01T12:30:00+00:00,1,1,0.5647,6,medium,55.74,1.543,0,1,mat_course_02_joins_024
student_0119,course_02,searching,q_course_02_searching_0024,quiz,question_attempt,2025-01-01T12:37:00+00:00,0,0,0.4141,4,hard,103.72,3.78,0,3,mat_course_02_searching_010
student_0197,course_04,joins,q_course_04_joins_0024,quiz,question_attempt,2025-01-01T12:39:00+00:00,0,0,0.3909,4,easy,76.45,2.695,0,2,mat_course_04_joins_028
student_0119,course_02,graphs,q_course_02_graphs_0025,quiz,question_attempt,2025-01-01T12:45:00+00:00,0,0,0.2825,3,medium,63.06,4.625,0,3,mat_course_02_graphs_002
student_0197,course_04,sorting,q_course_04_sorting_0025,quiz,question_attempt,2025-01-01T12:48:00+00:00,0,0,0.3719,4,easy,80.08,3.197,0,2,mat_course_04_sorting_008
student_0197,course_04,arrays,q_course_04_arrays_0026,quiz,question_attempt,2025-01-01T12:55:00+00:00,0,0,0.2929,3,medium,80.94,4.078,1,1,mat_course_04_arrays_015
student_0119,course_02,graphs,q_course_02_graphs_0026,assignment,assignment_attempt,2025-01-01T12:58:00+00:00,1,1,0.5692,6,medium,70.65,3.356,1,3,mat_course_02_graphs_009
student_0038,course_03,normalization,q_course_03_normalization_0000,assignment,assignment_attempt,2025-01-01T13:04:00+00:00,0,0,0.4715,5,easy,84.79,3.589,0,1,mat_course_03_normalization_024
student_0197,course_04,dp,q_course_04_dp_0027,quiz,question_attempt,2025-01-01T13:06:00+00:00,1,1,0.6061,6,hard,108.91,0.598,1,2,mat_course_04_dp_001
student_0119,course_02,stacks_queues,q_course_02_stacks_queues_0027,quiz,question_attempt,2025-01-01T13:07:00+00:00,0,0,0.2929,3,medium,61.93,2.255,0,3,mat_course_02_stacks_queues_014
student_0038,course_03,complexity,q_course_03_complexity_0001,quiz,question_attempt,2025-01-01T13:12:00+00:00,0,0,0.4565,5,hard,68.36,5.417,0,3,mat_course_03_complexity_014
student_0197,course_04,joins,q_course_04_joins_0028,quiz,question_attempt,2025-01-01T13:13:00+00:00,0,0,0.249,2,medium,108.48,3.618,0,1,mat_course_04_joins_012
student_0119,course_02,sql_basics,q_course_02_sql_basics_0028,quiz,question_attempt,2025-01-01T13:14:00+00:00,0,0,0.1606,2,medium,89.04,2.302,0,1,mat_course_02_sql_basics_018
student_0038,course_03,normalization,q_course_03_normalization_0002,quiz,question_attempt,2025-01-01T13:22:00+00:00,0,0,0.2834,3,hard,99.01,4.62,0,2,mat_course_03_normalization_005
student_0119,course_02,normalization,q_course_02_normalization_0029,quiz,question_attempt,2025-01-01T13:25:00+00:00,0,0,0.2855,3,medium,84.4,2.559,0,3,mat_course_02_normalization_003
student_0197,course_04,sorting,q_course_04_sorting_0029,quiz,question_attempt,2025-01-01T13:25:00+00:00,0,0,0.1927,2,easy,75.23,5.386,0,3,mat_course_04_sorting_015
student_0038,course_03,stacks_queues,q_course_03_stacks_queues_0003,quiz,question_attempt,2025-01-01T13:30:00+00:00,1,1,0.735,7,medium,65.39,1.96,1,3,mat_course_03_stacks_queues_023
student_0197,course_04,joins,q_course_04_joins_0030,assignment,assignment_attempt,2025-01-01T13:32:00+00:00,1,1,0.5818,6,easy,34.11,0.557,0,1,mat_course_04_joins_014
student_0119,course_02,linked_lists,q_course_02_linked_lists_0030,quiz,question_attempt,2025-01-01T13:34:00+00:00,1,1,0.4696,5,medium,61.72,2.438,1,3,mat_course_02_linked_lists_006
student_0038,course_03,joins,q_course_03_joins_0004,quiz,question_attempt,2025-01-01T13:36:00+00:00,0,0,0.2921,3,medium,64.95,5.559,0,3,mat_course_03_joins_030
student_0119,course_02,complexity,q_course_02_complexity_0031,quiz,question_attempt,2025-01-01T13:43:00+00:00,0,0,0.3872,4,medium,59.21,4.836,0,2,mat_course_02_complexity_017
student_0197,course_04,searching,q_course_04_searching_0031,quiz,question_attempt,2025-01-01T13:43:00+00:00,0,0,0.2752,3,hard,86.85,3.208,0,3,mat_course_04_searching_011
student_0038,course_03,trees,q_course_03_trees_0005,quiz,question_attempt,2025-01-01T13:46:00+00:00,1,1,0.5018,5,easy,25.82,2.454,0,2,mat_course_03_trees_030
student_0197,course_04,sorting,q_course_04_sorting_0032,quiz,question_attempt,2025-01-01T13:48:00+00:00,0,0,0.3125,3,medium,73.46,3.571,1,1,mat_course_04_sorting_005
student_0119,course_02,joins,q_course_02_joins_0032,assignment,assignment_attempt,2025-01-01T13:52:00+00:00,1,1,0.5741,6,medium,80.7,5.025,0,2,mat_course_02_joins_027
student_0038,course_03,sorting,q_course_03_sorting_0006,quiz,question_attempt,2025-01-01T13:55:00+00:00,1,1,0.6312,6,hard,62.11,4.447,0,2,mat_course_03_sorting_006
student_0119,course_02,stacks_queues,q_course_02_stacks_queues_0033,assignment,assignment_attempt,2025-01-01T13:58:00+00:00,0,0,0.1673,2,hard,68.54,2.251,0,1,mat_course_02_stacks_queues_016
student_0197,course_04,stacks_queues,q_course_04_stacks_queues_0033,quiz,question_attempt,2025-01-01T13:59:00+00:00,0,0,0.367,4,hard,91.96,3.441,0,1,mat_course_04_stacks_queues_033
student_0038,course_03,sql_basics,q_course_03_sql_basics_0007,quiz,question_attempt,2025-01-01T14:05:00+00:00,1,1,0.5702,6,medium,62.09,4.95,0,1,mat_course_03_sql_basics_014
student_0197,course_04,trees,q_course_04_trees_0034,quiz,question_attempt,2025-01-01T14:09:00+00:00,0,0,0.29,3,medium,58.96,1.888,1,1,mat_course_04_trees_027
student_0119,course_02,joins,q_course_02_joins_0034,assignment,assignment_attempt,2025-01-01T14:10:00+00:00,0,0,0.1306,1,medium,60.2,3.68,1,2,mat_course_02_joins_004
student_0038,course_03,sorting,q_course_03_sorting_0008,assignment,assignment_attempt,2025-01-01T14:13:00+00:00,0,0,0.1042,1,medium,93.35,2.195,0,1,mat_course_03_sorting_013
student_0197,course_04,trees,q_course_04_trees_0035,quiz,question_attempt,2025-01-01T14:16:00+00:00,1,1,0.5213,5,medium,58.91,3.285,0,1,mat_course_04_trees_032
student_0119,course_02,complexity,q_course_02_complexity_0035,quiz,question_attempt,2025-01-01T14:19:00+00:00,0,0,0.4338,4,hard,90.53,2.974,0,2,mat_course_02_complexity_001
student_0038,course_03,dp,q_course_03_dp_0009,quiz,question_attempt,2025-01-01T14:22:00+00:00,0,0,0.3652,4,easy,107.78,2.667,0,2,mat_course_03_dp_019
student_0197,course_04,normalization,q_course_04_normalization_0036,assignment,assignment_attempt,2025-01-01T14:24:00+00:00,1,1,0.5067,5,easy,31.62,1.023,0,3,mat_course_04_normalization_009
student_0119,course_02,complexity,q_course_02_complexity_0036,assignment,assignment_attempt,2025-01-01T14:25:00+00:00,0,0,0.2651,3,easy,82.59,5.268,0,2,mat_course_02_complexity_004
student_0038,course_03,linked_lists,q_course_03_linked_lists_0010,quiz,question_attempt,2025-01-01T14:30:00+00:00,0,0,0.2618,3,medium,82.25,3.832,0,3,mat_course_03_linked_lists_025
student_0119,course_02,stacks_queues,q_course_02_stacks_queues_0037,quiz,question_attempt,2025-01-01T14:34:00+00:00,0,0,0.1546,2,medium,77.14,4.302,1,3,mat_course_02_stacks_queues_020
student_0197,course_04,graphs,q_course_04_graphs_0037,assignment,assignment_attempt,2025-01-01T14:34:00+00:00,0,0,0.249,2,hard,86.98,5.459,1,2,mat_course_04_graphs_009
student_0038,course_03,stacks_queues,q_course_03_stacks_queues_0011,assignment,assignment_attempt,2025-01-01T14:42:00+00:00,1,1,0.4377,4,medium,65.52,4.047,0,2,mat_course_03_stacks_queues_030
student_0197,course_04,arrays,q_course_04_arrays_0038,quiz,question_attempt,2025-01-01T14:43:00+00:00,1,1,0.5239,5,hard,55.02,2.872,0,1,mat_course_04_arrays_017
student_0119,course_02,searching,q_course_02_searching_0038,quiz,question_attempt,2025-01-01T14:44:00+00:00,1,1,0.6739,7,medium,65.66,1.373,1,2,mat_course_02_searching_018
student_0038,course_03,sql_basics,q_course_03_sql_basics_0012,quiz,question_attempt,2025-01-01T14:48:00+00:00,0,0,0.3959,4,medium,104.08,4.602,1,2,mat_course_03_sql_basics_008
student_0197,course_04,sql_basics,q_course_04_sql_basics_0039,quiz,question_attempt,2025-01-01T14:52:00+00:00,1,1,0.6435,6,medium,44.4,3.619,0,2,mat_course_04_sql_basics_033
student_0119,course_02,trees,q_course_02_trees_0039,quiz,question_attempt,2025-01-01T14:54:00+00:00,0,0,0.2448,2,medium,63.48,4.132,0,3,mat_course_02_trees_001
student_0038,course_03,linked_lists,q_course_03_linked_lists_0013,assignment,assignment_attempt,2025-01-01T14:57:00+00:00,1,1,0.6463,6,medium,58.24,2.582,0,1,mat_course_03_linked_lists_028
student_0197,course_04,dp,q_course_04_dp_0040,quiz,question_attempt,2025-01-01T15:01:00+00:00,0,0,0.2534,3,medium,77.21,2.845,0,1,mat_course_04_dp_014
student_0119,course_02,joins,q_course_02_joins_0040,quiz,question_attempt,2025-01-01T15:04:00+00:00,0,0,0.3294,3,medium,88.0,3.33,0,1,mat_course_02_joins_017
student_0038,course_03,complexity,q_course_03_complexity_0014,quiz,question_attempt,2025-01-01T15:07:00+00:00,0,0,0.3745,4,medium,83.63,3.829,1,2,mat_course_03_complexity_027
student_0197,course_04,sql_basics,q_course_04_sql_basics_0041,quiz,question_attempt,2025-01-01T15:11:00+00:00,1,1,0.5733,6,medium,57.28,2.431,0,2,mat_course_04_sql_basics_024
student_0119,course_02,sql_basics,q_course_02_sql_basics_0041,quiz,question_attempt,2025-01-01T15:12:00+00:00,0,0,0.5525,6,easy,69.93,3.554,0,1,mat_course_02_sql_basics_004
student_0038,course_03,sql_basics,q_course_03_sql_basics_0015,quiz,question_attempt,2025-01-01T15:15:00+00:00,0,0,0.3302,3,hard,95.13,3.033,0,2,mat_course_03_sql_basics_029
student_0119,course_02,sorting,q_course_02_sorting_0042,assignment,assignment_attempt,2025-01-01T15:20:00+00:00,0,0,0.2186,2,medium,100.33,3.485,1,1,mat_course_02_sorting_030
student_0197,course_04,arrays,q_course_04_arrays_0042,quiz,question_attempt,2025-01-01T15:21:00+00:00,0,0,0.273,3,easy,61.11,3.992,0,3,mat_course_04_arrays_012
student_0038,course_03,graphs,q_course_03_graphs_0016,quiz,question_attempt,2025-01-01T15:27:00+00:00,0,0,0.2227,2,medium,74.12,3.42,1,2,mat_course_03_graphs_012
student_0119,course_02,joins,q_course_02_joins_0043,quiz,question_attempt,2025-01-01T15:27:00+00:00,0,0,0.341,3,medium,132.38,3.333,0,3,mat_course_02_joins_030
student_0197,course_04,stacks_queues,q_course_04_stacks_queues_0043,assignment,assignment_attempt,2025-01-01T15:27:00+00:00,1,1,0.6025,6,medium,58.95,2.339,1,2,mat_course_04_stacks_queues_022
student_0038,course_03,dp,q_course_03_dp_0017,quiz,question_attempt,2025-01-01T15:33:00+00:00,0,0,0.1922,2,easy,94.77,2.824,0,1,mat_course_03_dp_011
student_0119,course_02,joins,q_course_02_joins_0044,assignment,assignment_attempt,2025-01-01T15:39:00+00:00,0,0,0.3073,3,hard,89.71,3.261,0,1,mat_course_02_joins_015
student_0197,course_04,linked_lists,q_course_04_linked_lists_0044,quiz,question_attempt,2025-01-01T15:39:00+00:00,0,0,0.3127,3,hard,64.9,3.242,1,1,mat_course_04_linked_lists_016
student_0038,course_03,normalization,q_course_03_normalization_0018,quiz,question_attempt,2025-01-01T15:44:00+00:00,1,1,0.5662,6,hard,60.94,3.666,0,3,mat_course_03_normalization_005
student_0119,course_02,searching,q_course_02_searching_0045,quiz,question_attempt,2025-01-01T15:47:00+00:00,0,0,0.2085,2,hard,84.59,1.942,0,2,mat_course_02_searching_002
student_0197,course_04,searching,q_course_04_searching_0045,quiz,question_attempt,2025-01-01T15:48:00+00:00,0,0,0.3561,4,medium,85.74,4.856,1,3,mat_course_04_searching_027
student_0038,course_03,trees,q_course_03_trees_0019,assignment,assignment_attempt,2025-01-01T15:55:00+00:00,1,1,0.5704,6,hard,51.52,3.218,0,3,mat_course_03_trees_008
student_0119,course_02,searching,q_course_02_searching_0046,quiz,question_attempt,2025-01-01T15:55:00+00:00,1,1,0.5651,6,easy,83.36,0.339,1,3,mat_course_02_searching_011
student_0197,course_04,joins,q_course_04_joins_0046,quiz,question_attempt,2025-01-01T15:57:00+00:00,0,0,0.1643,2,medium,102.55,4.539,0,2,mat_course_04_joins_013
student_0119,course_02,searching,q_course_02_searching_0047,assignment,assignment_attempt,2025-01-01T16:03:00+00:00,1,1,0.5123,5,medium,46.88,2.223,0,1,mat_course_02_searching_015
student_0038,course_03,searching,q_course_03_searching_0020,quiz,question_attempt,2025-01-01T16:04:00+00:00,0,0,0.2597,3,hard,66.26,3.292,0,3,mat_course_03_searching_008
student_0197,course_04,dp,q_course_04_dp_0047,assignment,assignment_attempt,2025-01-01T16:06:00+00:00,0,0,0.3577,4,medium,101.37,5.503,1,2,mat_course_04_dp_028
student_0038,course_03,dp,q_course_03_dp_0021,quiz,question_attempt,2025-01-01T16:13:00+00:00,0,0,0.2825,3,medium,86.45,3.363,0,3,mat_course_03_dp_006
student_0197,course_04,searching,q_course_04_searching_0048,assignment,assignment_attempt,2025-01-01T16:15:00+00:00,1,1,0.4989,5,medium,25.7,2.754,1,3,mat_course_04_searching_003
student_0038,course_03,arrays,q_course_03_arrays_0022,quiz,question_attempt,2025-01-01T16:19:00+00:00,1,1,0.4946,5,easy,63.83,0.3,0,2,mat_course_03_arrays_005
student_0197,course_04,searching,q_course_04_searching_0049,assignment,assignment_attempt,2025-01-01T16:22:00+00:00,0,0,0.3241,3,hard,116.72,5.114,0,3,mat_course_04_searching_030
student_0197,course_04,dp,q_course_04_dp_0050,quiz,question_attempt,2025-01-01T16:30:00+00:00,1,1,0.6711,7,easy,62.93,1.729,1,1,mat_course_04_dp_013
student_0038,course_03,graphs,q_course_03_graphs_0023,assignment,assignment_attempt,2025-01-01T16:31:00+00:00,0,0,0.3801,4,easy,61.47,3.293,1,2,mat_course_03_graphs_001
student_0038,course_03,sql_basics,q_course_03_sql_basics_0024,quiz,question_attempt,2025-01-01T16:38:00+00:00,0,0,0.3085,3,medium,77.85,3.967,0,3,mat_course_03_sql_basics_006
student_0197,course_04,dp,q_course_04_dp_0051,quiz,question_attempt,2025-01-01T16:40:00+00:00,0,0,0.3387,3,medium,55.74,3.873,1,1,mat_course_04_dp_025
student_0038,course_03,linked_lists,q_course_03_linked_lists_0025,assignment,assignment_attempt,2025-01-01T16:48:00+00:00,0,0,0.2031,2,medium,75.56,3.423,0,3,mat_course_03_linked_lists_022
student_0197,course_04,normalization,q_course_04_normalization_0052,assignment,assignment_attempt,2025-01-01T16:50:00+00:00,1,1,0.5183,5,medium,54.47,3.024,0,2,mat_course_04_normalization_010
student_0038,course_03,searching,q_course_03_searching_0026,quiz,question_attempt,2025-01-01T16:56:00+00:00,0,0,0.2153,2,medium,99.47,3.268,0,2,mat_course_03_searching_015
student_0197,course_04,joins,q_course_04_joins_0053,quiz,question_attempt,2025-01-01T16:59:00+00:00,0,0,0.4033,4,medium,114.83,3.318,0,1,mat_course_04_joins_034
student_0050,course_03,complexity,q_course_03_complexity_0000,quiz,question_attempt,2025-01-01T17:00:00+00:00,1,1,0.4804,5,easy,23.27,3.69,0,1,mat_course_03_complexity_015
student_0038,course_03,graphs,q_course_03_graphs_0027,quiz,question_attempt,2025-01-01T17:04:00+00:00,0,0,0.2076,2,easy,123.5,5.599,0,2,mat_course_03_graphs_031
student_0197,course_04,arrays,q_course_04_arrays_0054,quiz,question_attempt,2025-01-01T17:08:00+00:00,0,0,0.2788,3,medium,75.72,3.219,1,3,mat_course_04_arrays_001
student_0050,course_03,graphs,q_course_03_graphs_0001,quiz,question_attempt,2025-01-01T17:10:00+00:00,0,0,0.3357,3,medium,95.57,3.72,0,2,mat_course_03_graphs_033
student_0197,course_04,linked_lists,q_course_04_linked_lists_0055,quiz,question_attempt,2025-01-01T17:15:00+00:00,0,0,0.3215,3,easy,70.87,6.261,0,2,mat_course_04_linked_lists_015
student_0038,course_03,normalization,q_course_03_normalization_0028,quiz,question_attempt,2025-01-01T17:16:00+00:00,1,1,0.612,6,hard,79.86,3.75,0,3,mat_course_03_normalization_028
student_0050,course_03,stacks_queues,q_course_03_stacks_queues_0002,assignment,assignment_attempt,2025-01-01T17:22:00+00:00,0,0,0.2927,3,medium,87.93,3.51,0,2,mat_course_03_stacks_queues_018
student_0038,course_03,arrays,q_course_03_arrays_0029,assignment,assignment_attempt,2025-01-01T17:23:00+00:00,0,0,0.3415,3,hard,111.46,4.377,0,2,mat_course_03_arrays_006
student_0050,course_03,linked_lists,q_course_03_linked_lists_0003,quiz,question_attempt,2025-01-01T17:27:00+00:00,0,0,0.2927,3,hard,127.21,3.243,0,3,mat_course_03_linked_lists_021
student_0197,course_04,dp,q_course_04_dp_0056,assignment,assignment_attempt,2025-01-01T17:27:00+00:00,1,1,0.5042,5,easy,58.54,0.576,0,1,mat_course_04_dp_019
student_0038,course_03,graphs,q_course_03_graphs_0030,assignment,assignment_attempt,2025-01-01T17:33:00+00:00,0,0,0.1398,1,medium,70.69,4.751,0,1,mat_course_03_graphs_027
student_0197,course_04,linked_lists,q_course_04_linked_lists_0057,assignment,assignment_attempt,2025-01-01T17:37:00+00:00,1,1,0.7083,7,medium,22.42,2.402,0,3,mat_course_04_linked_lists_011
student_0050,course_03,dp,q_course_03_dp_0004,quiz,question_attempt,2025-01-01T17:40:00+00:00,0,0,0.2734,3,medium,83.92,3.671,0,2,mat_course_03_dp_017
student_0038,course_03,joins,q_course_03_joins_0031,quiz,question_attempt,2025-01-01T17:43:00+00:00,0,0,0.4229,4,medium,64.29,4.742,0,2,mat_course_03_joins_021
student_0197,course_04,sql_basics,q_course_04_sql_basics_0058,quiz,question_attempt,2025-01-01T17:46:00+00:00,0,0,0.4508,5,easy,98.94,5.127,0,1,mat_course_04_sql_basics_021
student_0050,course_03,graphs,q_course_03_graphs_0005,quiz,question_attempt,2025-01-01T17:49:00+00:00,0,0,0.3065,3,medium,93.25,4.463,0,3,mat_course_03_graphs_009
student_0038,course_03,sorting,q_course_03_sorting_0032,quiz,question_attempt,2025-01-01T17:50:00+00:00,0,0,0.2873,3,medium,48.17,3.73,0,1,mat_course_03_sorting_028
student_0197,course_04,stacks_queues,q_course_04_stacks_queues_0059,quiz,question_attempt,2025-01-01T17:51:00+00:00,1,1,0.5523,6,medium,34.11,4.071,0,1,mat_course_04_stacks_queues_017
student_0050,course_03,sorting,q_course_03_sorting_0006,quiz,question_attempt,2025-01-01T17:55:00+00:00,1,1,0.5498,5,medium,14.87,2.025,0,2,mat_course_03_sorting_016
